Timestamp,How old are you?,Industry,Functional area of job,Job title,Job title - additional context,Annual salary (gross),Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City,Remote or on-site?,"Years of experience, overall",Years of experience in field,Highest level of education completed,Gender,Race
4/11/2023 11:04:01,25-34,Religion,Clergy,Pastor,,52000,1250,USD,,,United States,Tennessee,Nashville,Hybrid,8-10 years,2-4 years,Master's degree,Non-binary,White
4/11/2023 11:04:02,35-44,Nonprofits,"Marketing, Advertising & PR",Content Manager,,42500,,USD,,,United States,North Carolina,Raleigh,Hybrid,11-20 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:04:03,18-24,Nonprofits,Government Affairs & Lobbying,advocacy coordinator,,53000,,USD,,,United States,North Carolina,eastern NC,Fully remote,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 11:04:07,25-34,Computing or Tech,Sales,Sr. Customer Success Manager,,132000,10000,USD,,"Income is 70% salary, 30% commission",United States,Oregon,Portland,Fully remote,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 11:04:07,65 or over,Engineering or Manufacturing,Engineering or Manufacturing,Owner,Engineer,364000,0,USD,,,United States,Georgia,Atlanta,Fully remote,31-40 years,31-40 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/11/2023 11:04:09,25-34,Government & Public Administration,Business or Consulting,Data Technical,Junior Data Analysis type role,21575,450,GBP,,4% an hour retention bonus from January till September ,United Kingdom,,York,Hybrid,8-10 years,1 year or less,Some college,Man,White
4/11/2023 11:04:11,25-34,Nonprofits,Development/Fundraising,Senior Grants Manager,,75000,,USD,,,United States,District of Columbia,"Washington, DC",Fully remote,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 11:04:12,35-44,Media & Digital,"Marketing, Advertising & PR","Director, Programmatic Advertising",,111000,10000,USD,,,United States,Illinois,Chicago,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:04:12,45-54,Education (Primary/Secondary),Education (Primary/Secondary),teacher,,71000,3000,USD,,extra money goes toward insurance,United States,Illinois,Mascoutah,On-site,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 11:04:19,35-44,Government & Public Administration,Administration,Operations Analyst I,,32877,0,USD,,,United States,Florida,Tampa,On-site,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 11:04:20,35-44,Business or Consulting,Computing or Tech,Workday Manager,I'm a Manager level consultant working with Workday software,139000,0,USD,,,United States,Virginia,Falls Church,Fully remote,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:04:21,25-34,Nonprofits,Government & Public Administration,Senior Program Officer,I work at the American HQ of an international NGO,65000,0,USD,,,United States,District of Columbia,Washington,Hybrid,5-7 years,5-7 years,,Man,White
4/11/2023 11:04:24,35-44,Computing or Tech,Computing or Tech,Senior Support Specialist,,80000,,USD,,,United States,Connecticut,Hartford,Fully remote,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:04:24,25-34,Education (Higher Education),Health care,Post-doctoral research fellow,,55000,0,USD,,This is considered a training position. The salary is not commensurate with the degree required for the position (a PhD),United States,Georgia,Atlanta,Hybrid,8-10 years,5-7 years,PhD,Woman,Asian or Asian American
4/11/2023 11:04:24,45-54,Government & Public Administration,Computing or Tech,Scrum Master,,82000,0,CAD,,,Canada,,Ottawa,Other/it's complicated,21-30 years,5-7 years,College degree,Woman,White
4/11/2023 11:04:24,35-44,Engineering or Manufacturing,Administration,Project Manager,,68520,5000,USD,,,United States,Georgia,Duluth,On-site,11-20 years,2-4 years,College degree,Woman,White
4/11/2023 11:04:26,35-44,Social Work,Administration,Human Resources Administrative Assistant,,50500,2000,CAD,,,Canada,,Barrie,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:04:28,25-34,"Accounting, Banking & Finance",Computing or Tech,Control Management Specialist,I'm a data analyst but not in name - provide data and reporting to 10-15 stakeholders and approx. 2000+ people.,86500,6000,USD,,Bonus based on work performed - usually 5-9% raise yearly as well. Hired on at about 82000,United States,Missouri,St Louis,Hybrid,5-7 years,2-4 years,College degree,Other or prefer not to answer,White
4/11/2023 11:04:34,35-44,Government & Public Administration,Administration,Student Affairs Professional II,Enrolled Student Services Coordinator,51000,0,USD,,,United States,Georgia,Athens,On-site,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:04:35,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Librarian,,78000,,USD,,,United States,Connecticut,New Haven,Hybrid,11-20 years,8-10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/11/2023 11:04:35,25-34,"Accounting, Banking & Finance","Accounting, Banking & Finance",Senior Administrator,High ranking assistant in NYC finance,85000,8000,USD,,,United States,New York,Manhattan,Hybrid,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 11:04:36,35-44,Computing or Tech,Computing or Tech,Sr. Software Engineer,,189000,,CAD,,,Canada,,Toronto,Fully remote,11-20 years,8-10 years,College degree,Woman,"Black or African American, Middle Eastern or Northern African"
4/11/2023 11:04:44,45-54,Computing or Tech,Computing or Tech,HR Director,,180000,20000,USD,,,United States,Washington,Seattle ,Fully remote,21-30 years,11-20 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
4/11/2023 11:04:45,25-34,Utilities & Telecommunications,Engineering or Manufacturing,Network Manager,,83850,10000,CAD,,,Canada,,Toronto,Hybrid,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
4/11/2023 11:04:46,18-24,Law,Legal Research,Law Student Aide,Research Assistant for Law Professor ,37440,0,USD,,,United States,Illinois,Chicago ,Hybrid,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
4/11/2023 11:04:47,45-54,Property or Construction,"Accounting, Banking & Finance",Financial Administrator,"Office Manager type duties plus contracts, invoicing, processing payments",51500,0,USD,,,United States,Maryland,Baltimore,Hybrid,21-30 years,8-10 years,College degree,Woman,White
4/11/2023 11:04:47,35-44,Law,Law,Paralegal,,49400,500,USD,,,United States,Minnesota,Cloquet,On-site,21-30 years,11-20 years,College degree,Woman,White
4/11/2023 11:04:54,55-64,Property or Construction,"Accounting, Banking & Finance",Controller,,150000,18000,USD,,,United States,Pennsylvania,Erie,Fully remote,31-40 years,11-20 years,College degree,Woman,White
4/11/2023 11:04:54,35-44,Government & Public Administration,Government & Public Administration,Senior Analyst,,112241,800,CAD,,,Canada,,Ottawa,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:04:59,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Head of Public Service,I supervise librarians and library assistants in the main library of a countywide library district.,63000,0,USD,,,United States,Michigan,Lansing,On-site,21-30 years,8-10 years,Master's degree,Man,White
4/11/2023 11:05:01,35-44,Computing or Tech,Sales,Sales Analyst,,99500,,USD,,,United States,Massachusetts,Boston,Fully remote,21-30 years,11-20 years,College degree,Woman,White
4/11/2023 11:05:04,35-44,Publishing,Computing or Tech,Customer Success Manager,I aid college instructors with pairing our course material to their learning management systems and provide tech support for students and instructors.,50000,15000,USD,,,United States,New York,Albany,Fully remote,11-20 years,1 year or less,Master's degree,Woman,White
4/11/2023 11:05:11,25-34,"Marketing, Advertising & PR",Biotechnology & Pharma,Senior Project Director,Market Research,105000,2000,USD,,,United States,Massachusetts,Boston,Fully remote,11-20 years,8-10 years,Master's degree,Woman,"Black or African American, White"
4/11/2023 11:05:13,25-34,Education (Higher Education),Computing or Tech,Network Engineer,,65000,,USD,,,United States,South Dakota,Rapid City,On-site,2-4 years,2-4 years,College degree,Woman,White
4/11/2023 11:05:16,35-44,Business or Consulting,"Marketing, Advertising & PR",Internal Communications Manager,,122000,27000,USD,,,United States,New York,New York,Hybrid,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 11:05:14,35-44,Nonprofits,Music Therapy,music therapist,,49200,,USD,,,United States,Michigan,Ferndale ,On-site,11-20 years,1 year or less,College degree,Woman,White
4/11/2023 11:05:16,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Librarian,,74250,0,USD,,,United States,Massachusetts,Boston,On-site,8-10 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:05:19,45-54,Family Office/Private Wealth,Administration,Office Manager and Executive Assistant,,150000,5000,USD,,,United States,New York,New York City,On-site,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 11:05:20,35-44,Health care,"Marketing, Advertising & PR",Internal communications manager,,98289,,USD,,,United States,Pennsylvania,Philadelphia ,Hybrid,11-20 years,8-10 years,Master's degree,,
4/11/2023 11:05:22,25-34,"Marketing, Advertising & PR","Marketing, Advertising & PR",Marketing Consultant,I work fulltime freelance so my jobs vary daily and weekly,104000,,USD,,I calculated this as if I worked my most steady job full time but if they actually hired me on that way it would probably be 10% less or so,United States,New York,NYC,Fully remote,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 11:05:23,25-34,Law,Law,Counsel,In house counsel at large bank,154400,10000,USD,,,United States,New Jersey,Cherry Hill,Hybrid,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:05:26,25-34,Retail,"Marketing, Advertising & PR",Internal Communications Assistant ,,43375,0,EUR,,,Ireland,,Dublin,Hybrid,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:05:26,45-54,Business or Consulting,Administration,Administrator,,49920,,CAD,,,Canada,,Whitby,On-site,31-40 years,31-40 years,High School,Woman,White
4/11/2023 11:05:37,45-54,Property or Construction,Recruitment or HR,Senior Administrative Assistant,,86600,10000,USD,,,United States,Connecticut,Norwalk,On-site,31-40 years,31-40 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/11/2023 11:05:36,35-44,Government & Public Administration,Training and Instructional Systems,Instructional Systems Specialist,Instructional Designer,118500,,USD,,,United States,District of Columbia,Washington,Fully remote,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:05:37,45-54,Media & Digital,Education (Higher Education),Taxonomy analyst,I'm a digital library cataloger for an academic publisher,82000,14000,USD,,,United States,Massachusetts,Boston,Fully remote,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:05:38,25-34,Business or Consulting,Health care,Researcher,,110000,0,USD,,,United States,Illinois,Chicago,Fully remote,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:05:40,25-34,Nonprofits,Nonprofits,Prevention Services Coordinator,,42000,400,USD,,,United States,Virginia,Charlottesville,On-site,5-7 years,5-7 years,College degree,Other or prefer not to answer,White
4/11/2023 11:05:41,25-34,Law,Administration,Director of Administration,,72000,3000,USD,,,United States,Illinois,Chicago Suburbs,On-site,11-20 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:05:42,35-44,Government & Public Administration,Law,Staff Attorney,Judiciary staff attorney,107000,1000,USD,,,United States,Maryland,Annapolis,On-site,8-10 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:05:46,25-34,Computing or Tech,Computing or Tech,Senior Product Manager,,187000,6000,USD,,,United States,California,Long Beach,Fully remote,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 11:05:49,25-34,Education (Higher Education),Education (Higher Education),Learning and Development Manager,,75000,2000,USD,,,United States,Colorado,Denver,Hybrid,8-10 years,2-4 years,PhD,Woman,White
4/11/2023 11:05:52,35-44,Induserial Cleaning,"Accounting, Banking & Finance",Senior Accountant,,64480,1500,USD,,,United States,South Carolina,Columbia,On-site,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:05:53,25-34,Education (Higher Education),Instructional Design ,Manager of Instructional Design and Development,,97000,0,USD,,,United States,Minnesota,Minneapolis ,Hybrid,8-10 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:05:54,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Special Collections Senior Librarian,,72500,0,USD,,,United States,Colorado,Denver,Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:05:55,35-44,Law,Government & Public Administration,Staff Attorney,,85000,,USD,,,United States,Louisiana,New Orleans,On-site,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American
4/11/2023 11:05:59,25-34,Media & Digital,Media & Digital,Assistant Editor,,54500,,USD,,,United States,New York,New York City,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:05:59,45-54,Utilities & Telecommunications,Procurement,Team Lead Supply Chain,,102450,12294,CAD,,,Canada,,Calgary,Hybrid,21-30 years,11-20 years,College degree,Woman,White
4/11/2023 11:06:02,25-34,Health care,Computing or Tech,Senior Software Engineer,,170000,5000,USD,,,United States,Massachusetts,Northampton ,Fully remote,8-10 years,8-10 years,Some college,Non-binary,White
4/11/2023 11:06:00,35-44,Nonprofits,Hospitality & Events,"Senior Manager, Conferences and Events",,80000,,USD,,,United States,Florida,Tampa,Fully remote,11-20 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
4/11/2023 11:06:01,35-44,Insurance,Insurance,Business analyst,,60000,,CAD,,,Canada,,Winnipeg,Hybrid,11-20 years,2-4 years,Some college,Woman,White
4/11/2023 11:06:01,45-54,"Accounting, Banking & Finance","Accounting, Banking & Finance",Bookkeeper,,79500,2000,CAD,,,Canada,,Toronto,Hybrid,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 11:06:03,45-54,Property or Construction,Property or Construction,Vice President,,141000,15000,USD,,,United States,Maryland,Rockville,Hybrid,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 11:06:04,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,,69000,4000,USD,,"Distributed over 10 months, not 12",United States,Maryland,Bethesda,On-site,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:06:06,25-34,Computing or Tech,Computing or Tech,professional services consultant,,76000,0,USD,,,United States,South Carolina,Charleston,Fully remote,8-10 years,1 year or less,College degree,Woman,White
4/11/2023 11:06:07,35-44,Health care,Government Affairs & Lobbying,Public Policy Associate ,,75000,0,USD,,,United States,Maine,Portland ,Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:06:07,55-64,Education (Primary/Secondary),Administration,Admin Assistant to Superintendent of schools,Public School,76500,1000,USD,,,United States,Massachusetts,North of Boston,On-site,21-30 years,11-20 years,Some college,Woman,White
4/11/2023 11:06:08,18-24,Government & Public Administration,Research,Analyst,,73900,5000,USD,,,United States,Georgia,Atlanta,Hybrid,1 year or less,1 year or less,Master's degree,Woman,Another option not listed here or prefer not to answer
4/11/2023 11:06:09,55-64,Retail,Retail,Customer Service Clerk,,32240,80,USD,,,United States,Kansas,Wichita,On-site,31-40 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:06:11,35-44,Nonprofits,Computing or Tech,Data Analyst,Work for a labor union on contract and political campaigns.,73000,0,USD,,,United States,New York,New York City,Hybrid,8-10 years,5-7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
4/11/2023 11:06:14,25-34,Business or Consulting,Biotechnology & Pharma,Human Factors Engineer,,117500,19500,USD,,,United States,Massachusetts,Boston,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:06:16,55-64,Education (Higher Education),Administration,Compliance and Communications Officer,Legal compliance and employee communications regarding benefit plans,125000,0,USD,,,United States,Massachusetts,Boston,Hybrid,31-40 years,31-40 years,College degree,Woman,White
4/11/2023 11:06:15,25-34,Government & Public Administration,,Park Ranger,,41000,0,USD,,,United States,Arizona,Fredonia,On-site,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:06:17,35-44,"Accounting, Banking & Finance",Underwriting ,Lending Officer ,,104000,21800,USD,,,United States,Minnesota,Minneapolis ,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:06:17,35-44,Education (Higher Education),Education (Higher Education),Associate Professor,Several years into tenure,70500,2000,USD,,,United States,Florida,Orlando,On-site,8-10 years,8-10 years,PhD,Woman,White
4/11/2023 11:06:18,35-44,"Accounting, Banking & Finance",Administration,COO,,120000,,USD,,,United States,Tennessee,Nashville,Fully remote,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 11:06:18,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Music Teacher (PreK - 8),,50469,1000,USD,,,United States,Virginia,Charlottesville,On-site,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:06:19,35-44,"Accounting, Banking & Finance",Computing or Tech,Data analyst,,45000,0,EUR,,,Ireland,,Dublin,Hybrid,5-7 years,2-4 years,PhD,Woman,White
4/11/2023 11:06:20,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Head of Digital Library,I'm responsible for all IT operations for a major university library,57000,0,GBP,,,United Kingdom,,Edinburgh,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:06:25,35-44,Science,Science,Chief Technology Officer,,134000,40000,USD,,,United States,Virginia,Charlottesville,On-site,8-10 years,8-10 years,PhD,Man,White
4/11/2023 11:06:26,45-54,Nonprofits,Nonprofits,CACFP Coordinates ll,,50481,0,USD,,,United States,Iowa,Cedar Rapids ,Other/it's complicated,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:06:27,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Librarian 2,,55000,0,USD,,,United States,Tennessee,Nashville,On-site,8-10 years,8-10 years,Master's degree,Woman,White
